Id,Name,Description,Repo Url
1,system-design-primer,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.,https://github.com/donnemartin/system-design-primer
2,public-apis,A collective list of free APIs for use in software and web development.,https://github.com/public-apis/public-apis
3,Python,All Algorithms implemented in Python,https://github.com/TheAlgorithms/Python
4,Python-100-Days,Python - 100天从新手到大师,https://github.com/jackfrued/Python-100-Days
5,awesome-python,"A curated list of awesome Python frameworks, libraries, software and resources",https://github.com/vinta/awesome-python
6,youtube-dl,Command-line program to download videos from YouTube.com and other video sites,https://github.com/ytdl-org/youtube-dl
7,models,Models and examples built with TensorFlow,https://github.com/tensorflow/models
8,thefuck,Magnificent app which corrects your previous console command.,https://github.com/nvbn/thefuck
9,django,The Web framework for perfectionists with deadlines.,https://github.com/django/django
10,flask,The Python micro framework for building web applications.,https://github.com/pallets/flask
11,keras,Deep Learning for humans,https://github.com/keras-team/keras
12,httpie,"As easy as /aitch-tee-tee-pie/ 🥧 Modern, user-friendly command-line HTTP client for the API era. JSON support, colors, sessions, downloads, plugins & more. https://twitter.com/httpie",https://github.com/httpie/httpie
13,awesome-machine-learning,"A curated list of awesome Machine Learning frameworks, libraries and software.",https://github.com/josephmisiti/awesome-machine-learning
14,ansible,"Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and maintain. Automate everything from code deployment to network configuration to cloud management, in a language that approaches plain English, using SSH, with no agents to install on remote systems. https://docs.ansible.com.",https://github.com/ansible/ansible
15,scikit-learn,scikit-learn: machine learning in Python,https://github.com/scikit-learn/scikit-learn
16,requests,"A simple, yet elegant HTTP library.",https://github.com/psf/requests
17,transformers,🤗Transformers: State-of-the-art Natural Language Processing for Pytorch and TensorFlow 2.0.,https://github.com/huggingface/transformers
18,core,:house_with_garden: Open source home automation that puts local control and privacy first,https://github.com/home-assistant/core
19,scrapy,"Scrapy, a fast high-level web crawling & scraping framework for Python.",https://github.com/scrapy/scrapy
20,big-list-of-naughty-strings,The Big List of Naughty Strings is a list of strings which have a high probability of causing issues when used as user-input data.,https://github.com/minimaxir/big-list-of-naughty-strings
21,you-get,:arrow_double_down: Dumb downloader that scrapes the web,https://github.com/soimort/you-get
22,face_recognition,The world's simplest facial recognition api for Python and the command line,https://github.com/ageitgey/face_recognition
23,HelloGitHub,:octocat: Find pearls on open-source seashore 分享 GitHub 上有趣、入门级的开源项目,https://github.com/521xueweihan/HelloGitHub
24,cpython,The Python programming language,https://github.com/python/cpython
25,superset,Apache Superset is a Data Visualization and Data Exploration Platform,https://github.com/apache/superset
26,faceswap,Deepfakes Software For All,https://github.com/deepfakes/faceswap
27,shadowsocks,,https://github.com/shadowsocks/shadowsocks
28,manim,Animation engine for explanatory math videos,https://github.com/3b1b/manim
29,XX-Net,A proxy tool to bypass GFW.,https://github.com/XX-net/XX-Net
30,interview_internal_reference,2020年最新总结，阿里，腾讯，百度，美团，头条等技术面试题目，以及答案，专家出题人分析汇总。,https://github.com/0voice/interview_internal_reference
31,CppCoreGuidelines,"The C++ Core Guidelines are a set of tried-and-true guidelines, rules, and best practices about coding in C++",https://github.com/isocpp/CppCoreGuidelines
32,12306,12306智能刷票，订票,https://github.com/testerSunshine/12306
33,Deep-Learning-Papers-Reading-Roadmap,Deep Learning papers reading roadmap for anyone who are eager to learn this amazing tech!,https://github.com/floodsung/Deep-Learning-Papers-Reading-Roadmap
34,AiLearning,AiLearning: 机器学习 - MachineLearning - ML、深度学习 - DeepLearning - DL、自然语言处理 NLP,https://github.com/apachecn/AiLearning
